,Fertilizer,Fish Silage
climate change,0.26947179,0.01969008
terrestrial ecotoxicity,0.03150345,0.00641719
terrestrial acidification & nutrification,0.01183738,0.0007219
aquatic ecotoxicity,0.0026322,0.00012431
land occupation,0.01326751,0.00077035
ionising radiation,0.00064361,0.000047538
photochemical oxidation,0.00052005,0.00003826
human toxicity,0.12741256,0.01758222
respiratory effects (inorganics),0.47425952,0.03182195
ozone layer depletion,0.000057613,4.7769E-06
mineral extraction,0.00042153,0.000026286
non-renewable energy,0.23910824,0.01950995
aquatic acidification,23.907824,1.5164782
aquatic eutrophication,0.26937906,0.02075656
